day,date,content_type,template,example,tips,engagement_potential
1,2025-07-02,数字型内容,X个/X种/X天 + 核心内容 + 效果描述,5个普拉提动作让你告别小肚腩,使用具体数字增加可信度，数字建议在3-10之间,高
2,2025-07-03,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
3,2025-07-04,疑问引导类,疑问词 + 核心问题 + 解答预期,普拉提真的能减肥吗？我来告诉你,提出用户关心的问题，激发好奇心,中高
4,2025-07-05,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
5,2025-07-06,数字型内容,X个/X种/X天 + 核心内容 + 效果描述,5个普拉提动作让你告别小肚腩,使用具体数字增加可信度，数字建议在3-10之间,高
6,2025-07-07,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
7,2025-07-08,疑问引导类,疑问词 + 核心问题 + 解答预期,普拉提真的能减肥吗？我来告诉你,提出用户关心的问题，激发好奇心,中高
8,2025-07-09,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
9,2025-07-10,数字型内容,X个/X种/X天 + 核心内容 + 效果描述,5个普拉提动作让你告别小肚腩,使用具体数字增加可信度，数字建议在3-10之间,高
10,2025-07-11,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
11,2025-07-12,疑问引导类,疑问词 + 核心问题 + 解答预期,普拉提真的能减肥吗？我来告诉你,提出用户关心的问题，激发好奇心,中高
12,2025-07-13,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
13,2025-07-14,数字型内容,X个/X种/X天 + 核心内容 + 效果描述,5个普拉提动作让你告别小肚腩,使用具体数字增加可信度，数字建议在3-10之间,高
14,2025-07-15,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
15,2025-07-16,疑问引导类,疑问词 + 核心问题 + 解答预期,普拉提真的能减肥吗？我来告诉你,提出用户关心的问题，激发好奇心,中高
16,2025-07-17,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
17,2025-07-18,数字型内容,X个/X种/X天 + 核心内容 + 效果描述,5个普拉提动作让你告别小肚腩,使用具体数字增加可信度，数字建议在3-10之间,高
18,2025-07-19,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
19,2025-07-20,疑问引导类,疑问词 + 核心问题 + 解答预期,普拉提真的能减肥吗？我来告诉你,提出用户关心的问题，激发好奇心,中高
20,2025-07-21,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
21,2025-07-22,数字型内容,X个/X种/X天 + 核心内容 + 效果描述,5个普拉提动作让你告别小肚腩,使用具体数字增加可信度，数字建议在3-10之间,高
22,2025-07-23,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
23,2025-07-24,疑问引导类,疑问词 + 核心问题 + 解答预期,普拉提真的能减肥吗？我来告诉你,提出用户关心的问题，激发好奇心,中高
24,2025-07-25,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
25,2025-07-26,数字型内容,X个/X种/X天 + 核心内容 + 效果描述,5个普拉提动作让你告别小肚腩,使用具体数字增加可信度，数字建议在3-10之间,高
26,2025-07-27,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
27,2025-07-28,疑问引导类,疑问词 + 核心问题 + 解答预期,普拉提真的能减肥吗？我来告诉你,提出用户关心的问题，激发好奇心,中高
28,2025-07-29,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
29,2025-07-30,数字型内容,X个/X种/X天 + 核心内容 + 效果描述,5个普拉提动作让你告别小肚腩,使用具体数字增加可信度，数字建议在3-10之间,高
30,2025-07-31,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
