title,nickname,content_type,liked_count,collected_count,comment_count,share_count,total_engagement,engagement_rate,collect_rate,comment_rate,publish_datetime,publish_date,publish_hour,days_since_publish
普拉提器械🆚瑜伽的区别,Pilates Agang,对比测评,1997.0,696,5,680.0,3378.0,6.13,20.6,0.15,2024-10-12 17:04:55,2024-10-12,17,242
当老公第一次上普拉提……,娜娜威,亲身体验,0.0,745,1542,0.0,2287.0,5.63,32.58,67.42,2025-06-04 10:45:21,2025-06-04,10,8
偷偷练好这三个动作，让你的体态鹤立鸡群!,北体有大招,其他,100.0,65,27,11.0,203.0,5.23,32.02,13.3,2024-10-05 03:48:40,2024-10-05,3,250
每天20分钟跟普拉提大师JohnGarey学普拉提,普拉提视频搬运工,亲身体验,403.0,456,9,108.0,976.0,5.08,46.72,0.92,2025-02-26 14:10:43,2025-02-26,14,106
nba 球星通过普拉提提升运动表现、预防运动,一斤干货,知识科普,65.0,15,0,48.0,128.0,4.69,11.72,0.0,2024-09-19 03:46:02,2024-09-19,3,266
普拉提和瑜伽的6️⃣大区别,小玲,对比测评,647.0,539,6,352.0,1544.0,4.68,34.91,0.39,2024-08-21 08:35:17,2024-08-21,8,295
像不像你做瑜伽普拉提的样子💕hellokitty,可爱个铲铲儿,打卡分享,1215.0,483,21,517.0,2236.0,4.56,21.6,0.94,2025-02-25 07:33:30,2025-02-25,7,107
普拉提与其他运动的区别。,皓东潜制序体态控制学,教程指导,254.0,193,31,59.0,537.0,4.32,35.94,5.77,2025-05-13 11:16:32,2025-05-13,11,30
为什么越来越多男运动员选择普拉提？,kxpilates,亲身体验,402.0,232,6,418.0,1058.0,4.32,21.93,0.57,2024-06-13 10:25:52,2024-06-13,10,364
每天20分钟跟普拉提大师JohnGarey学普拉提,普拉提视频搬运工,亲身体验,403.0,456,9,108.0,976.0,4.2,46.72,0.92,2025-02-26 14:10:43,2025-02-26,14,106
