title,nickname,content_type,liked_count,collected_count,comment_count,share_count,total_engagement,engagement_rate,collect_rate,comment_rate,publish_datetime,publish_date,publish_hour,days_since_publish
nba 球星通过普拉提提升运动表现、预防运动,一斤干货,知识科普,65.0,15,0,48.0,128.0,6.22,11.72,0.0,2024-09-19 03:46:02,2024-09-19,3,266
普拉提与其他运动的区别。,皓东潜制序体态控制学,教程指导,254.0,193,31,59.0,537.0,5.92,35.94,5.77,2025-05-13 11:16:32,2025-05-13,11,30
现在怎么好多男的也练普拉提了？,北美二三事儿,教程指导,25.0,9,34,13.0,81.0,5.9,11.11,41.98,2024-12-21 17:41:59,2024-12-21,17,172
当老公第一次上普拉提……,娜娜威,亲身体验,0.0,745,1542,0.0,2287.0,5.38,32.58,67.42,2025-06-04 10:45:21,2025-06-04,10,8
普拉提小班课,玉儿老师,亲身体验,37.0,18,3,73.0,131.0,5.25,13.74,2.29,2024-07-04 11:25:12,2024-07-04,11,343
普拉提器械🆚瑜伽的区别,Pilates Agang,对比测评,1997.0,696,5,680.0,3378.0,5.15,20.6,0.15,2024-10-12 17:04:55,2024-10-12,17,242
每天20分钟跟普拉提大师JohnGarey学普拉提,普拉提视频搬运工,亲身体验,403.0,456,9,108.0,976.0,4.87,46.72,0.92,2025-02-26 14:10:43,2025-02-26,14,106
当老公第一次上普拉提……,娜娜威,亲身体验,0.0,745,1542,0.0,2287.0,4.63,32.58,67.42,2025-06-04 10:45:21,2025-06-04,10,8
你以为的普拉提vs现实中的普拉提,梅 梅,对比测评,19.0,3,0,23.0,45.0,4.43,6.67,0.0,2024-11-19 03:36:46,2024-11-19,3,205
普拉提VS健身 俩硬汉的普拉提初体验,麋鹿妹妹妹,亲身体验,124.0,16,27,259.0,426.0,4.35,3.76,6.34,2025-06-12 15:29:04,2025-06-12,15,0
普拉提并不适合正常人练习（直怼版）,肖杨的运动康复日记,知识科普,1191.0,468,948,684.0,3291.0,4.27,14.22,28.81,2025-05-19 23:57:40,2025-05-19,23,23
普拉提和瑜伽的6️⃣大区别,小玲,对比测评,647.0,539,6,352.0,1544.0,4.27,34.91,0.39,2024-08-21 08:35:17,2024-08-21,8,295
每天20分钟跟普拉提大师JohnGarey学普拉提,普拉提视频搬运工,亲身体验,403.0,456,9,108.0,976.0,4.12,46.72,0.92,2025-02-26 14:10:43,2025-02-26,14,106
💥C罗也练普拉提？,功能性普拉提林老师,打卡分享,826.0,521,17,1374.0,2738.0,3.97,19.03,0.62,2024-07-09 10:02:10,2024-07-09,10,338
为什么越来越多男运动员选择普拉提？,kxpilates,亲身体验,402.0,232,6,418.0,1058.0,3.78,21.93,0.57,2024-06-13 10:25:52,2024-06-13,10,364
